学易-云作业平台性能测试报告,,,,,,,,,,,,,
Label,并发数,平均值/ms,中位数/ms,90%/ms,95%/ms,99%/ms,最小值/ms,最大值/ms,异常,吞吐量,接收/kb,发送/kb,
getAllUsers,1000,437,397,582,729,872,421,7841,0,157.4236871,67.41232687,18.51451542,
getAllStudentByClass,1000,687,647,797,951,1103,209,9841,0,197.5236872,78.42372691,23.51515315,
deleteStudentFromClass,1000,462,418,598,713,834,148,9423,0,199.4126228,93.42314231,27.42342432,
getAllUsersByClassIds,1000,561,512,674,853,913,162,8232,0,188.4216873,81.42362873,19.42367898,
getUserBySid,1000,532,487,682,834,897,152,8493,0,189.4262872,79.42324234,17.42378922,
getAllStudentByTheClass,1000,723,682,891,1051,1205,187,11872,0,218.4213469,101.4273982,27.42342232,
addStuidentToClass,1000,783,738,942,1123,1309,194,14472,0,276.5421687,107.4278132,29.42367888,
login,1000,275,246,415,447,1103,98,1136,0,508.3884087,130.5724136,116.174695,
register,1010,391,376,641,1119,1143,87,1519,0,94.40134592,25.07535751,30.05355349,
"测试环境：Jmeter          测试用服务器：8核16G10M,Ubuntu 16.04           测试参数：10^4数据,10^3线程并发",,,,,,,,,,,,,
,,,,,,,,,,,,,
